Removed Pin From Net: NetName=GND Pin=C26-1
Removed Pin From Net: NetName=3.3V_PWR Pin=C26-2
Removed Pin From Net: NetName=MIC_SIG Pin=C28-1
Removed Pin From Net: NetName=NetC28_2 Pin=IC6-5
Removed Pin From Net: NetName=NetC28_2 Pin=R15-2
Removed Pin From Net: NetName=NetC29_2 Pin=R18-2
Change Component Footprint: Designator=C30 Old Footprint=CAPC1005X55N New Footprint=SMD-0402C
Change Component Comment : Designator=C26 Old Comment=1uF New Comment=1µF
Change Component Comment : Designator=R3 Old Comment=ERJ-2RKF7500X New Comment=750
Change component parameters: Designator = "R3" ("R3"); Footprint = "RESC1005X40N"; UniqueID = "\JPROZZLJ" ("\JPROZZLJ")
Change component parameters (AddParameter): Name = "Allied Price/Stock"; Value = "https://www.alliedelec.com/panasonic-erj-2rkf7500x/70265602/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Allied_Number"; Value = "70265602"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C86.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "ERJ-2RKF7500X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "667-ERJ-2RKF7500X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RS Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RS Price/Stock"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "750"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "SMD-0402-RES"; UniqueID = "\HHKTXGUW" ("\HHKTXGUW")
Change component parameters (AddParameter): Name = "@ qty"; Value = "1500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheets"; Value = "http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ103X+7+WW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digi-Key Part Number"; Value = "P10KJCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Stock"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.016" (0.40mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Image"; Value = "//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Quantity"; Value = "1"; VariantName = "[No Variations]"
